plate ,well,type,parent1,parent2,parent3,parent4,parent1_label,parent2_label,parent3_label,parent4_label
plate01,well01,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well02,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well03,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well04,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well05,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well06,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well07,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well08,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well09,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well10,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well11,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well12,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well13,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well14,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well15,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well16,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well17,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well18,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well19,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well20,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well21,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well22,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well23,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well24,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well25,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well26,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well27,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well28,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well29,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well30,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well31,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well32,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well33,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well34,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well35,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well36,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well37,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well38,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well39,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well40,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well41,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well42,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well43,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well44,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well45,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well46,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well47,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well48,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well49,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well50,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well51,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well52,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well53,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well54,coinfection,HK68,PAN99,,,HK68,PAN99,,
plate01,well55,coinfection,HK68,PAN99,,,HK68,PAN99,,
